Feature,Missing Count,Missing Percentage,Unique Values,Variance,Mean,Standard Deviation,Minimum,Maximum
STRESS_VOLATILITY_6M,5,1.2468827930174564,396,7.8229638553196175,3.539997064795031,2.796956176867921,0.5391611011729398,23.58692452173641
STRESS_CHANGE_3M,3,0.7481296758104738,398,53.83700546191525,0.0885907463888442,7.337370473263242,-24.298901693873496,48.888376701817975
STRESS_3M_AVG,2,0.4987531172069825,399,125.38349873312464,45.08106121804356,11.197477337915208,27.437839136938354,85.87837413112025
STRESS_ACCELERATION,2,0.4987531172069825,399,30.59992123245243,-0.006849765153482625,5.531719554754419,-37.61158402426883,26.04924972283959
STRESS_GAP_3M,2,0.4987531172069825,399,9.978984772581365,0.03636913424190514,3.158953113387624,-12.838283322205598,26.563729811835245
STRESS_CHANGE_1M,1,0.24937655860349126,400,16.777137101025534,0.04586278725145295,4.095990368766207,-21.457625228674402,31.929119089559215
CPI,0,0.0,384,2478.0865579048254,217.9685760598504,49.78038326394068,142.3,332.407
CPI_3M_AVG,0,0.0,398,2459.5705446247293,217.49541978387364,49.594057553548986,142.03333333333333,330.05333333333334
CPI_LAG1,0,0.0,384,2459.5104875649754,217.49399501246884,49.59345206340223,142.1,330.293
ECON_STRESS,0,0.0,401,132.86873705198389,45.07091104540736,11.526870219273915,27.107095638234167,90.85298265508915
FEDFUNDS,0,0.0,197,4.773165890274314,2.6274812967581043,2.18475762735236,0.05,6.54
FED_3M_AVG,0,0.0,302,4.753170087143253,2.6261180382377387,2.180176618336976,0.060000000000000296,6.523333333333333
FED_6M_AVG,0,0.0,334,4.704536107993904,2.6244389027431425,2.1689942618628346,0.075,6.5183333333333335
FED_CHANGE,0,0.0,144,0.030579864089775564,0.0013715710723192027,0.17487099270541,-0.96,0.6999999999999997
FED_LAG1,0,0.0,197,4.771135827930174,2.6261097256857853,2.184292981248206,0.05,6.54
FED_MOMENTUM,0,0.0,252,0.025751247991133274,0.0013632585203655755,0.1604719539082555,-0.7400000000000002,0.6399999999999992
FED_VOLATILITY,0,0.0,367,0.0460707163446288,0.17486653356383944,0.214640900912731,0.0,0.9297526552798874
GDP,0,0.0,134,44402262.6950556,15969.534571072321,6663.502284463899,6680.803,31865.721
GDP_3M_AVG,0,0.0,400,43966168.40985271,15906.72928927681,6630.698938260786,6680.803,31865.721
GDP_GROWTH,0,0.0,135,7.127889488848714,4.860578165426648,2.66981075899561,-6.727970704466935,17.3743282929385
GDP_LAG1,0,0.0,134,43982287.80841616,15906.72928927681,6631.914339647049,6680.803,31865.721
GDP_MOMENTUM,0,0.0,267,16194.883524332903,62.8052817955112,127.2591196116526,-1195.2980000000025,1164.097333333335
INFLATION_RATE,0,0.0,398,2.3935046002392095,2.567495339202001,1.5470955368816786,-1.9587610037622771,8.979361103105798
TREASURY,0,0.0,400,2.782178242477639,3.937578191869579,1.6679862836599224,0.6236363636363637,7.955
TREASURY_CHANGE,0,0.0,401,0.047446213229541595,-0.0063692443532317525,0.21782151691130422,-1.1103030303030303,0.6411688311688319
TREASURY_LAG1,0,0.0,400,2.8033177643820353,3.9439474362228113,1.6743111312961028,0.6236363636363637,7.955
UNRATE,0,0.0,68,3.134708728179551,5.577306733167084,1.7705108664392746,3.4,14.8
UNRATE_3M_AVG,0,0.0,187,2.992020282626766,5.584954280964256,1.7297457277376829,3.4999999999999996,13.0
UNRATE_CHANGE,0,0.0,37,0.32676508728179554,-0.007730673316708234,0.5716337002677462,-2.1999999999999993,10.4
UNRATE_LAG1,0,0.0,68,3.1388755610972567,5.585037406483791,1.7716872074656003,3.4,14.8
UNRATE_MOMENTUM,0,0.0,77,0.1841135910224439,-0.007647547797173538,0.4290845965802593,-2.0,7.233333333333334
VIX,0,0.0,400,57.72574056839572,19.494109668924892,7.597745755709105,10.125454545454545,62.66894736842105
VIX_3M_AVG,0,0.0,401,49.91727119375664,19.478536261174433,7.065215580133181,10.310143578643583,58.7504462242563
VIX_CHANGE,0,0.0,401,17.556152241226627,0.013434924593278703,4.190006234031952,-16.28300865800866,38.107870813397135
VIX_LAG1,0,0.0,400,57.78955949113924,19.480674744331612,7.601944454620754,10.125454545454545,62.66894736842105
VIX_MOMENTUM,0,0.0,401,9.812397432336295,0.015573407750461572,3.1324746499112,-12.465542568542578,27.301245538087638
VIX_VOLATILITY,0,0.0,401,8.33714651704857,3.0543856207257045,2.8874117332047695,0.29041853571580606,19.684098771725733
Z_FEDFUNDS,0,0.0,401,0.8992350459065601,-0.650690182395221,0.9482800461396201,-2.3564173197657547,1.0924221752408037
Z_GDP_GROWTH,0,0.0,401,1.9478579166009131,-0.0798258460500553,1.395656804734213,-5.728743863448135,5.717190450205061
Z_INFLATION,0,0.0,401,1.8483679076432458,-0.20910257849148997,1.3595469494075023,-4.246383617303142,4.560218446420455
Z_UNRATE,0,0.0,401,1.7076145665579627,-0.29590418507476596,1.3067572714769804,-1.9407224732258292,5.372305377096479
Z_VIX,0,0.0,401,1.299879085253908,0.06788173846790008,1.1401223992422516,-1.5046741710553801,6.191987780056049
