Feature 1,Feature 2,Correlation,Absolute Correlation
CPI_3M_AVG,CPI_LAG1,0.9999907304975069,0.9999907304975069
CPI,CPI_3M_AVG,0.9999378089314196,0.9999378089314196
CPI,CPI_LAG1,0.9999189302702386,0.9999189302702386
GDP_3M_AVG,GDP_LAG1,0.9999083756263265,0.9999083756263265
GDP,GDP_3M_AVG,0.9998289093976563,0.9998289093976563
FED_3M_AVG,FED_LAG1,0.9997482839290561,0.9997482839290561
GDP,GDP_LAG1,0.9996456752091143,0.9996456752091143
FEDFUNDS,FED_3M_AVG,0.9972990330080675,0.9972990330080675
FEDFUNDS,FED_LAG1,0.9967960307848229,0.9967960307848229
CPI,GDP_3M_AVG,0.9958018524532236,0.9958018524532236
CPI,GDP_LAG1,0.9956724967439516,0.9956724967439516
CPI_3M_AVG,GDP_3M_AVG,0.9956149928363223,0.9956149928363223
GDP_3M_AVG,CPI_LAG1,0.9955893243332167,0.9955893243332167
CPI,GDP,0.9955149537781451,0.9955149537781451
CPI_3M_AVG,GDP_LAG1,0.9954895436876783,0.9954895436876783
GDP_LAG1,CPI_LAG1,0.9954652397118393,0.9954652397118393
GDP,CPI_3M_AVG,0.9952649208563645,0.9952649208563645
GDP,CPI_LAG1,0.9952420083529679,0.9952420083529679
FED_3M_AVG,FED_6M_AVG,0.9951547787878952,0.9951547787878952
FED_6M_AVG,FED_LAG1,0.9945752362802539,0.9945752362802539
TREASURY,TREASURY_LAG1,0.9915125623574718,0.9915125623574718
UNRATE_3M_AVG,UNRATE_LAG1,0.9886490604344021,0.9886490604344021
FEDFUNDS,FED_6M_AVG,0.9866572265862363,0.9866572265862363
UNRATE,UNRATE_3M_AVG,0.9702122788034172,0.9702122788034172
VIX,Z_VIX,0.9678667382089994,0.9678667382089994
VIX_3M_AVG,VIX_LAG1,0.9667272288784776,0.9667272288784776
ECON_STRESS,STRESS_3M_AVG,0.9618158938973418,0.9618158938973418
FED_CHANGE,FED_MOMENTUM,0.9606756933889267,0.9606756933889267
GDP_GROWTH,Z_GDP_GROWTH,0.9595479000202675,0.9595479000202675
INFLATION_RATE,Z_INFLATION,0.9538944411890132,0.9538944411890132
UNRATE,UNRATE_LAG1,0.947914340429424,0.947914340429424
UNRATE,Z_UNRATE,0.9394313624544337,0.9394313624544337
VIX,VIX_3M_AVG,0.9112438503770649,0.9112438503770649
UNRATE_3M_AVG,Z_UNRATE,0.9082508430987949,0.9082508430987949
STRESS_CHANGE_1M,STRESS_GAP_3M,0.9023867301636277,0.9023867301636277
